X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-9300797.0748,3510363.9033,11,107668,UNKNOWN107668,PERRY,FL,32348,SUBSTATION,IN SERVICE,TAYLOR,12123,USA,30.0529967590001,-83.550481668,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/27 00:00:00+00,1,69,69,Y,Y
-9300225.1484,3511471.8626,12,107669,UNKNOWN107669,PERRY,FL,32348,SUBSTATION,IN SERVICE,TAYLOR,12123,USA,30.0616113,-83.545343966,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/27 00:00:00+00,1,69,69,Y,Y
-9258426.8522,3519679.0802,13,107670,UNKNOWN107670,LIVE OAK,FL,32060,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,30.1254002360001,-83.169863482,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/02 00:00:00+00,3,69,-999999,N,N
-9258438.3156,3519603.4757,14,107671,UNKNOWN107671,LIVE OAK,FL,32060,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,30.1248128030001,-83.16996646,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/02 00:00:00+00,1,-999999,-999999,N,N
-9232280.454,3503443.866,15,107672,UNKNOWN107672,O BRIEN,FL,32071,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,29.9991755300001,-82.9349863909999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/03 00:00:00+00,1,-999999,-999999,N,N
-9232329.7879,3503404.4873,16,107673,UNKNOWN107673,O BRIEN,FL,32071,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,29.998869175,-82.9354295649999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/03 00:00:00+00,3,69,-999999,N,N
-9259879.4188,3551408.9736,17,107674,UNKNOWN107674,LIVE OAK,FL,32060,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,30.371626549,-83.18291211,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/02 00:00:00+00,10,230,-999999,N,N
-9248163.6622,3537209.9074,18,107675,UNKNOWN107675,LIVE OAK,FL,32060,SUBSTATION,IN SERVICE,SUWANNEE,12121,USA,30.261517036,-83.077667678,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/27 00:00:00+00,1,115,115,Y,Y
-9209265.6561,3541269.588,19,107677,UNKNOWN107677,LAKE CITY,FL,32055,SUBSTATION,IN SERVICE,COLUMBIA,12023,USA,30.293011275,-82.7282409439999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/03/04 00:00:00+00,1,-999999,-999999,N,N
-9438946.3294,3554421.4033,20,107678,UNKNOWN107678,HOSFORD,FL,32334,SUBSTATION,IN SERVICE,LIBERTY,12077,USA,30.3949711220001,-84.7914975369999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/10 00:00:00+00,2,69,69,N,N
-9392347.6332,3559601.85,21,107679,UNKNOWN107679,TALLAHASSEE,FL,32304,SUBSTATION,IN SERVICE,LEON,12073,USA,30.4351035170001,-84.372894327,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/09 00:00:00+00,4,115,69,Y,N
-9490492.8776,3463986.6185,22,107680,UNKNOWN107680,PORT ST JOE,FL,32456,SUBSTATION,IN SERVICE,GULF,12045,USA,29.691736104,-85.254548058,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/11 00:00:00+00,1,69,69,Y,Y
-9385913.658,3558900.4264,23,107685,UNKNOWN107685,TALLAHASSEE,FL,32304,SUBSTATION,IN SERVICE,LEON,12073,USA,30.4296706260001,-84.3150969439999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/26 00:00:00+00,4,115,115,N,N
-9389348.5998,3564975.5345,24,107686,UNKNOWN107686,TALLAHASSEE,FL,32303,SUBSTATION,IN SERVICE,LEON,12073,USA,30.4767154620001,-84.345953551,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/24 00:00:00+00,2,115,115,Y,Y
-9415457.179,3580626.721,25,107687,UNKNOWN107687,QUINCY,FL,32352,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.5978114640001,-84.5804909089999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/09 00:00:00+00,5,115,-999999,N,N
-9397743.4754,3587510.6932,26,107688,UNKNOWN107688,HAVANA,FL,32333,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.6510261330001,-84.421366002,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/23 00:00:00+00,1,69,69,Y,Y
-9283332.6361,3571226.4926,28,107690,UNKNOWN107690,MADISON,FL,32340,SUBSTATION,IN SERVICE,MADISON,12079,USA,30.5250983390001,-83.3935959459999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/27 00:00:00+00,4,115,115,N,N
-9259402.6305,3570241.3463,29,107692,UNKNOWN107692,JENNINGS,FL,32053,SUBSTATION,IN SERVICE,HAMILTON,12047,USA,30.5174748320001,-83.1786290479999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/27 00:00:00+00,4,115,115,N,N
-9405284.2946,3511720.1249,30,107693,UNKNOWN107693,SOPCHOPPY,FL,32358,SUBSTATION,IN SERVICE,WAKULLA,12129,USA,30.0635414720001,-84.4891063329999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/19 00:00:00+00,1,69,69,N,N
-9437474.0985,3553632.4057,31,107694,UNKNOWN107694,HOSFORD,FL,32334,SUBSTATION,IN SERVICE,LIBERTY,12077,USA,30.3888573900001,-84.778272262,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/10 00:00:00+00,4,115,69,Y,N
-9516206.6755,3544123.5428,32,107695,UNKNOWN107695,YOUNGSTOWN,FL,32466,SUBSTATION,IN SERVICE,BAY,12005,USA,30.3151456680001,-85.4855390339999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/19 00:00:00+00,2,115,115,N,N
-9709774.8646,3576312.5026,33,107698,UNKNOWN107698,PENSACOLA,FL,32514,SUBSTATION,IN SERVICE,ESCAMBIA,12033,USA,30.5644466680001,-87.224391662,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/01/23 00:00:00+00,11,115,-999999,N,N
-9529409.7637,3513340.716,34,107700,UNKNOWN107700,PANAMA CITY,FL,32403,SUBSTATION,IN SERVICE,BAY,12005,USA,30.0761402030001,-85.6041443939999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/16 00:00:00+00,2,115,115,Y,Y
-9514272.79,3534748.3572,35,107701,UNKNOWN107701,PANAMA CITY,FL,32404,SUBSTATION,IN SERVICE,BAY,12005,USA,30.242415872,-85.4681666449999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/19 00:00:00+00,6,115,-999999,N,N
-9485976.7295,3533988.4274,36,107702,UNKNOWN107702,WEWAHITCHKA,FL,32449,SUBSTATION,IN SERVICE,CALHOUN,12013,USA,30.23651821,-85.213978809,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/19 00:00:00+00,1,-999999,-999999,N,N
-9521743.6262,3535462.4925,37,107703,UNKNOWN107703,PANAMA CITY,FL,32404,SUBSTATION,IN SERVICE,BAY,12005,USA,30.2479578090001,-85.535278309,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/07 00:00:00+00,IMAGERY,2015/02/16 00:00:00+00,1,-999999,-999999,N,N
-9211355.4605,3260848.712,450,108143,UNKNOWN108143,PALM HARBOR,FL,34683,SUBSTATION,IN SERVICE,PINELLAS,12103,USA,28.0941465720001,-82.7470139759999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/06/17 00:00:00+00,2,-999999,-999999,N,N
-9705176.9928,3594709.8307,451,108144,UNKNOWN108144,MILTON,FL,32571,SUBSTATION,IN SERVICE,SANTA ROSA,12113,USA,30.7066457870001,-87.183088277,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/01/27 00:00:00+00,1,115,115,Y,Y
-9432479.0808,3588295.8036,452,108146,UNKNOWN108146,CHATTAHOOCHEE,FL,32324,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.657093355,-84.7334012539999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/10 00:00:00+00,2,115,-999999,Y,N
-9432273.0371,3588251.1967,453,108147,UNKNOWN108147,CHATTAHOOCHEE,FL,32324,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.6567486500001,-84.731550332,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/05 00:00:00+00,4,115,115,N,N
-9436238.9072,3577520.7449,454,108148,UNKNOWN108148,QUINCY,FL,32351,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.573791988,-84.767176349,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/17 00:00:00+00,0,-999999,-999999,N,N
-9703318.091,3624832.4064,455,108149,UNKNOWN108149,JAY,FL,32565,SUBSTATION,IN SERVICE,SANTA ROSA,12113,USA,30.939021134,-87.166389478,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/17 00:00:00+00,1,115,115,Y,Y
-9697616.291,3613142.3467,456,108150,UNKNOWN108150,JAY,FL,32565,SUBSTATION,IN SERVICE,SANTA ROSA,12113,USA,30.84890699,-87.1151693369999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/06/17 00:00:00+00,1,-999999,-999999,N,N
-9718164.7557,3629002.1328,457,108151,UNKNOWN108151,CENTURY,FL,32535,SUBSTATION,IN SERVICE,ESCAMBIA,12033,USA,30.9711434110001,-87.299759336,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/01/20 00:00:00+00,2,115,115,N,N
-9727497.9912,3627227.4323,458,108152,UNKNOWN108152,CENTURY,FL,32535,SUBSTATION,IN SERVICE,ESCAMBIA,12033,USA,30.95747299,-87.383601217,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2020/04/20 00:00:00+00,1,115,115,Y,Y
-9420095.6707,3565829.4097,459,108153,UNKNOWN108153,QUINCY,FL,32351,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.4833259380001,-84.6221591889999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/06/17 00:00:00+00,1,69,69,Y,Y
-9409389.9314,3582016.0457,460,108154,UNKNOWN108154,QUINCY,FL,32352,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.6085536160001,-84.5259878959999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/19 00:00:00+00,1,69,69,Y,Y
-9382770.6694,3542943.1814,461,108155,UNKNOWN108155,CRAWFORDVILLE,FL,32327,SUBSTATION,IN SERVICE,LEON,12073,USA,30.305991755,-84.286862997,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/20 00:00:00+00,1,115,115,Y,Y
-9226816.4048,3428864.3868,462,108156,UNKNOWN108156,CHIEFLAND,FL,32626,SUBSTATION,IN SERVICE,LEVY,12075,USA,29.4172799520001,-82.885902002,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/03/26 00:00:00+00,1,69,69,Y,Y
-9143405.5891,3347164.6935,463,108157,UNKNOWN108157,LAKE PANASOFFKEE,FL,33538,SUBSTATION,IN SERVICE,SUMTER,12119,USA,28.775984758,-82.136609896,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/05/07 00:00:00+00,2,69,69,Y,Y
-9133839.298,3344683.6243,464,108158,UNKNOWN108158,SUMTERVILLE,FL,33585,SUBSTATION,IN SERVICE,SUMTER,12119,USA,28.756447462,-82.050674441,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/05/07 00:00:00+00,1,69,69,Y,Y
-9128522.0839,3347312.8611,465,108159,UNKNOWN108159,WILDWOOD,FL,34785,SUBSTATION,IN SERVICE,SUMTER,12119,USA,28.777151395,-82.002909094,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/05/07 00:00:00+00,1,69,69,Y,Y
-9137994.9985,3363100.4033,466,108160,UNKNOWN108160,OXFORD,FL,34484,SUBSTATION,IN SERVICE,SUMTER,12119,USA,28.9013839840001,-82.088005734,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/05/04 00:00:00+00,2,69,69,Y,Y
-9395895.8883,3580130.8342,467,108161,UNKNOWN108161,HAVANA,FL,32333,SUBSTATION,IN SERVICE,GADSDEN,12039,USA,30.593977017,-84.404768845,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/23 00:00:00+00,2,69,-999999,Y,N
-9505345.8183,3494829.1874,468,108162,UNKNOWN108162,MEXICO BEACH,FL,32456,SUBSTATION,IN SERVICE,GULF,12045,USA,29.932133268,-85.3879742939999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/12 00:00:00+00,1,-999999,-999999,N,N
-9214154.5836,3417710.089,469,108163,UNKNOWN108163,OTTER CREEK,FL,32683,SUBSTATION,IN SERVICE,LEVY,12075,USA,29.3299610400001,-82.772158927,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/03/26 00:00:00+00,3,69,69,Y,Y
-9199238.6557,3397076.3309,470,108164,UNKNOWN108164,INGLIS,FL,34449,SUBSTATION,IN SERVICE,LEVY,12075,USA,29.1682371570001,-82.6381668669999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/03/30 00:00:00+00,2,69,69,Y,Y
-9183157.7252,3426418.5417,471,108165,UNKNOWN108165,WILLISTON,FL,32696,SUBSTATION,IN SERVICE,LEVY,12075,USA,29.398139616,-82.49370941,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/03/30 00:00:00+00,1,69,69,Y,Y
-9456372.474,3558986.964,472,108166,UNKNOWN108166,BRISTOL,FL,32321,SUBSTATION,IN SERVICE,LIBERTY,12077,USA,30.430340921,-84.9480392569999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/10 00:00:00+00,1,69,69,N,N
-9126917.2102,3353407.6088,473,108168,UNKNOWN108168,WILDWOOD,FL,34785,SUBSTATION,IN SERVICE,SUMTER,12119,USA,28.8251287030001,-81.988492268,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/05/04 00:00:00+00,2,69,69,Y,Y
-9391073.3896,3538442.8323,474,108169,UNKNOWN108169,CRAWFORDVILLE,FL,32327,SUBSTATION,IN SERVICE,WAKULLA,12129,USA,30.271082904,-84.3614476019999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/13 00:00:00+00,1,-999999,-999999,Y,Y
-9561483.2164,3548767.9828,475,108171,UNKNOWN108171,PANAMA CITY BEACH,FL,32413,SUBSTATION,IN SERVICE,BAY,12005,USA,30.351155824,-85.892265121,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Florida Geographic Data Library,2014/04/07 00:00:00+00,IMAGERY,2015/02/02 00:00:00+00,2,115,115,N,N
-9540003.7746,3538595.2466,476,108172,UNKNOWN108172,PANAMA CITY,FL,32409,SUBSTATION,IN SERVICE,BAY,12005,USA,30.272265373,-85.6993120129999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014/04/07 00:00:00+00,IMAGERY,2015/02/03 00:00:00+00,1,230,230,Y,Y
