X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-9365357.6278,4167527.6299,1465,109532,UNKNOWN109532,MURPHY,NC,28906,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.026828514,-84.130438983,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/22 00:00:00+00,IMAGERY,2014/04/22 00:00:00+00,4,161,-999999,N,N
-9353002.9902,4174232.088,1466,109533,UNKNOWN109533,MURPHY,NC,28906,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.0761326630001,-84.019455385,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/22 00:00:00+00,IMAGERY,2014/04/22 00:00:00+00,3,161,161,N,N
-9370567.9191,4184320.7368,1467,109534,UNKNOWN109534,MURPHY,NC,28906,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.1502678150001,-84.1772438259999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/22 00:00:00+00,IMAGERY,2014/04/24 00:00:00+00,6,161,-999999,N,N
-9222017.2693,4237231.5914,1468,109536,UNKNOWN109536,CANTON,NC,28716,SUBSTATION,IN SERVICE,HAYWOOD,37087,USA,35.5379700560001,-82.842790634,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/22 00:00:00+00,IMAGERY,2014/04/22 00:00:00+00,2,115,-999999,Y,N
-9327616.873,4166469.1289,1469,109538,UNKNOWN109538,HAYESVILLE,NC,28904,SUBSTATION,IN SERVICE,CLAY,37043,USA,35.0190416460001,-83.791408014,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/22 00:00:00+00,IMAGERY,2014/04/22 00:00:00+00,2,69,-999999,Y,N
-9247874.8239,4196940.7442,1474,109543,UNKNOWN109543,TUCKASEGEE,NC,28783,SUBSTATION,IN SERVICE,JACKSON,37099,USA,35.242909323,-83.075072999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/23 00:00:00+00,2,-999999,-999999,N,N
-9250949.5338,4198413.503,1475,109544,UNKNOWN109544,TUCKASEGEE,NC,28783,SUBSTATION,IN SERVICE,JACKSON,37099,USA,35.2537137300001,-83.102693588,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/23 00:00:00+00,2,-999999,-999999,N,N
-9344029.9128,4224911.7486,1476,109545,CHEOAH,ROBBINSVILLE,NC,28771,SUBSTATION,IN SERVICE,GRAHAM,37075,USA,35.4478631260001,-83.938848859,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",2014/04/23 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,2,161,-999999,Y,N
-9329158.1753,4225328.4817,1477,109546,FONTANA,FONTANA DAM,NC,28733,SUBSTATION,IN SERVICE,SWAIN,37173,USA,35.45091275,-83.8052537679999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2017/10/18 00:00:00+00,5,161,-999999,Y,N
-9335666.9383,4224866.2537,1478,109548,UNKNOWN109548,ROBBINSVILLE,NC,28771,SUBSTATION,IN SERVICE,GRAHAM,37075,USA,35.4475301910001,-83.863722981,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/23 00:00:00+00,3,161,-999999,Y,N
-9314892.7836,4200897.4473,1483,109554,NANTAHALA,TOPTON,NC,28781,SUBSTATION,IN SERVICE,MACON,37113,USA,35.271933102,-83.6771055739999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2017/10/18 00:00:00+00,8,161,-999999,Y,N
-9281425.7346,4193793.6132,1484,109555,UNKNOWN109555,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.219816614,-83.376465958,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/23 00:00:00+00,4,161,161,Y,Y
-9235994.862,4234058.6165,1485,109556,UNKNOWN109556,WAYNESVILLE,NC,28786,SUBSTATION,IN SERVICE,HAYWOOD,37087,USA,35.514772683,-82.968353486,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/24 00:00:00+00,2,115,115,Y,Y
-9289886.2905,4202342.6502,1486,109557,UNKNOWN109557,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.282531571,-83.4524684249999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,6,161,161,Y,Y
-9253772.3709,4197534.4305,1487,109558,UNKNOWN109558,TUCKASEGEE,NC,28783,SUBSTATION,IN SERVICE,JACKSON,37099,USA,35.2472648790001,-83.128051565,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/23 00:00:00+00,IMAGERY,2014/04/23 00:00:00+00,2,-999999,-999999,N,N
-8991384.4387,4188266.3403,1508,109583,UNKNOWN109583,CHARLOTTE,NC,28211,SUBSTATION,IN SERVICE,MECKLENBURG,37119,USA,35.179243227,-80.7709806669999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/24 00:00:00+00,IMAGERY,2014/04/24 00:00:00+00,8,100,-999999,Y,Y
-9007240.3901,4180931.8458,1509,109585,UNKNOWN109585,CHARLOTTE,NC,28273,SUBSTATION,IN SERVICE,MECKLENBURG,37119,USA,35.125372504,-80.913417102,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/24 00:00:00+00,IMAGERY,2014/04/24 00:00:00+00,12,100,-999999,Y,Y
-9007038.7772,4180832.6269,1510,109586,UNKNOWN109586,CHARLOTTE,NC,28273,SUBSTATION,IN SERVICE,MECKLENBURG,37119,USA,35.124643512,-80.911605982,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/24 00:00:00+00,IMAGERY,2014/04/24 00:00:00+00,2,100,100,Y,Y
-9341651.8438,4189619.7452,1534,109615,UNKNOWN109615,MARBLE,NC,28905,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.1891798770001,-83.917486302,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/28 00:00:00+00,IMAGERY,2014/04/28 00:00:00+00,1,-999999,-999999,N,N
-9341768.8957,4189489.0077,1535,109616,UNKNOWN109616,MARBLE,NC,28905,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.18822006,-83.9185377969999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/28 00:00:00+00,IMAGERY,2014/04/28 00:00:00+00,2,161,-999999,Y,N
-9341729.7535,4189129.4699,1584,109679,UNKNOWN109679,MARBLE,NC,28905,SUBSTATION,IN SERVICE,CHEROKEE,37039,USA,35.185580434,-83.9181861769999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/30 00:00:00+00,IMAGERY,2014/04/30 00:00:00+00,1,-999999,-999999,N,N
-9290029.899,4219885.1659,1588,109684,UNKNOWN109684,BRYSON CITY,NC,28713,SUBSTATION,IN SERVICE,SWAIN,37173,USA,35.4110698470001,-83.453758482,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/30 00:00:00+00,IMAGERY,2014/04/30 00:00:00+00,1,161,161,Y,Y
-9290766.1125,4220033.6564,1589,109685,UNKNOWN109685,BRYSON CITY,NC,28713,SUBSTATION,IN SERVICE,SWAIN,37173,USA,35.412157,-83.4603719999999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/04/30 00:00:00+00,IMAGERY,2014/04/30 00:00:00+00,5,161,161,Y,Y
-9284025.132,4192686.3498,1606,109702,UNKNOWN109702,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.2116902820001,-83.399816742,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/05/01 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,2,161,-999999,Y,Y
-9284389.7285,4187190.9428,1607,109703,UNKNOWN109703,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.1713468310001,-83.403091968,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/05/01 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,2,-999999,-999999,Y,Y
-9283516.6017,4185411.881,1608,109704,UNKNOWN109704,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.1582819060001,-83.395248537,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/05/01 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,2,161,-999999,Y,Y
-9282163.414,4173411.6799,1609,109705,UNKNOWN109705,FRANKLIN,NC,28734,SUBSTATION,IN SERVICE,MACON,37113,USA,35.0701010340001,-83.383092645,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/05/01 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,2,161,-999999,Y,Y
-9282817.2007,4172308.1006,1610,109706,UNKNOWN109706,OTTO,NC,28763,SUBSTATION,IN SERVICE,MACON,37113,USA,35.06198683,-83.388965711,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014/05/01 00:00:00+00,IMAGERY,2014/05/01 00:00:00+00,1,161,161,Y,Y
