X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-8643712.1824,5327013.7467,13719,124113,MORTIMER,BRIGHTON TOWN OF,NY,14623,SUBSTATION,IN SERVICE,MONROE,36055,USA,43.0987437270001,-77.6477876499999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www9.nationalgridus.com/oasis/non_html/pdf/NG%20LTP%202018%20REV4%200418.pdf",2015/05/08 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,16,115,69,N,N
-8642173.95,5321015.06,13720,124114,UNKNOWN124114,HENRIETTA,NY,14467,SUBSTATION,IN SERVICE,MONROE,36055,USA,43.0593839360001,-77.633969473,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,0,-999999,-999999,N,N
-8727146.42,5287882.2,13721,124115,UNKNOWN124115,ATTICA,NY,14011,SUBSTATION,IN SERVICE,WYOMING,36121,USA,42.8415305350001,-78.397290158,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,0,-999999,-999999,N,N
-8258242.1141,5305262.0463,13722,124116,UNKNOWN124116,AMSTERDAM,NY,12010,SUBSTATION,IN SERVICE,MONTGOMERY,36057,USA,42.9559017220001,-74.185051111,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,1,69,69,Y,Y
-8313052.44,5125299.98,13723,124117,UNKNOWN124117,HURLEYVILLE,NY,12747,SUBSTATION,IN SERVICE,SULLIVAN,36105,USA,41.7613659680001,-74.677420645,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,0,-999999,-999999,N,N
-8312646,5111795.71,13724,124118,UNKNOWN124118,THOMPSON TOWN OF,NY,12701,SUBSTATION,IN SERVICE,SULLIVAN,36105,USA,41.670813292,-74.673769533,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,0,-999999,-999999,N,N
-8173576.5213,5442442.5319,13725,124120,UNKNOWN124120,TICONDEROGA,NY,12883,SUBSTATION,IN SERVICE,ESSEX,36031,USA,43.8511915130001,-73.4244871499999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,1,115,115,Y,Y
-8177957.21,5578146.9494,13726,124121,UNKNOWN124121,PLATTSBURGH,NY,12901,SUBSTATION,IN SERVICE,CLINTON,36019,USA,44.7238204160001,-73.463839546,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,6,115,-999999,Y,N
-8179655.89,5474024.99,13727,124122,UNKNOWN124122,MORIAH TOWN OF,NY,12974,SUBSTATION,IN SERVICE,ESSEX,36031,USA,44.0554356540001,-73.479099048,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,1,115,115,Y,Y
-8209996.6213,5285104.8507,13728,124124,UNKNOWN124124,CLIFTON PARK,NY,12065,SUBSTATION,IN SERVICE,SARATOGA,36091,USA,42.8232340330001,-73.751654475,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/05/08 00:00:00+00,IMAGERY,2015/05/08 00:00:00+00,2,115,-999999,Y,Y
